user_account,balance_ether,balance_value,total_transactions,sent,received,n_contracts_sent,n_contracts_received,classification
0x6fa6afbd40f328d5fd20fbbe5253d547307389cf,0.00560759,2.19,845,1,29,29,0,0
0x0bfaa3b3bdf2b139cb591a1b3426e49a1ae06088,0.1715370043327716,67.13,26350,9,420,311,0,0
0xf1b7d207849367dc95a0b5caca62e6dad6210138,0.0427972723566932,16.75,91,0,4,4,0,0
0x691ddddf51283130bc36eb692a9d4bffc355d8f0,0.60921292366852,238.42,1405,0,36,36,0,0
0xc2481568a941b2bd0056a5eec083d192a0c8e000,0.00446824,1.75,90,0,3,3,0,0
0x5a487c051c8b9f6258ab7d3c024c3d65bdb08515,0.00207508,0.81,5,0,1,1,0,0
0x5183d5bdce548b2b6d997b018c6ac4a4381cdb14,0.00039370104,0.15,106,0,4,4,0,0
0xd2b62ce8c52ffbf4dca8fd499976e93dacd4e227,1.3409269280674745,524.79,474,0,5,5,0,0
0xf3d689d3f560499335d83063cef183f2f9dc93e0,0.0003047756875,0.12,2,0,1,1,0,0
0x43a9bdcd01169d5e3b27ccbd09be2b494ee62c64,0.0677838848963971,26.53,209,0,4,2,0,0
0x62dc7bcec4b665b4bb35e703ede495a550e4fbb4,0.1445176313540533,56.56,275,0,1,1,0,0
0x7704b6f464c38d3dbc7122697cf31ac48e02cb79,4.14538e-05,0.02,7,0,2,1,0,0
0x594a6dcde7431fcb1eee668e21d555202022b3f0,0.000118863143252,0.05,25,0,4,0,0,0
0xb724906b937a8f041f9aee6d26062317748a303d,0.0027772190123485,1.09,88,0,7,1,0,0
0x79a6d6a0ccfdc1bf184ef5effa893e7e3187f13b,2.41955e-05,0.01,45,1,4,1,0,0
0x77876c36fe1c640f0dacb51b9374f89e3d291720,3.3366983672833515,1305.85,25532,0,122,122,0,0
0x0c28b7cd1e38d80c3f28ba534540b129102b7464,4.5006e-05,0.02,3,0,1,1,0,0
0x7dedc11fb1109252192c24862c36c453b3bd48ef,2.00603e-05,0.01,52,1,4,2,0,0
0x34b030267a9db8c01b6199afcfc9ac892cb32351,0.00170567974342,0.67,50,2,1,0,0,0
0xd1262115834d532f17f9f8533aa06b8b8e8ffbec,0.0015309304384758,0.6,30,0,3,3,0,0
0x3115d885b14e40ac7297e5b58f31432ad3a9b6f5,0.0,0.0,5,0,1,0,0,0
0xf14fa9babdeaf3bbaac387bdff2aab33aeaff03a,0.010581795,4.14,37,0,1,1,0,0
0x8fcfb2a2b1fd5d50e9c5166434307d0ae23a9e34,0.00369929,1.45,25,0,2,2,0,0
0x43563d76a1d25d57e3f9cde53c0cfe186abb87b9,0.00332951,1.3,61,0,3,3,0,0
0x741c361ae7312a5a1fde206f484acfe82cb0b019,0.00231198,0.9,43,0,6,6,0,0
0xbf43c28559b25da33c998596b7b62a44a644a423,0.1104241673111371,43.22,123,1,22,22,0,0
0x9776a95f419b722b8feda32fc16ce2009456d910,7.6e-05,0.03,11,0,2,0,0,0
0x0c8a1a08734df7e8000e6233abf9f1bceb6ca7b0,0.0082338,3.22,4363,0,33,33,0,0
0xf71cbf6758aaaaf06ebcca5447019c31bb145782,0.0069,2.7,139851,1,3059,0,0,0
0x470d52c411b434b0142353e96fb9a8cbf375c8f0,0.00069,0.27,8,0,4,3,0,0
0x3a12e714549eb21e9e6f5ad158891e7864bd9e85,0.0,0.0,3,0,1,0,0,0
0x508c4e13099a9554b627f73863393530226f32c9,0.00054269104,0.21,106,0,3,3,0,0
0xabd481687dc0fdb58c4f08903f633d9058bbeb57,0.004325292,1.69,4,1,1,1,0,0
0xcb07411c84b6547e0533e0e44e0e81cda1157f2c,0.00019,0.07,6,0,1,0,0,0
0x51c76d3ef44477c9e0dba15541e0625844ad7be9,0.0006299571299999,0.25,45,0,4,4,0,0
0x51a18ebe46b90a17197fd33c86d443300beb8f07,0.0006241381299999,0.24,45,0,4,4,0,0
0x50ae0b0d67b558cb733c6aa7b37119893c014e82,0.00050686324,0.2,106,0,4,4,0,0
0x50adba2fd791a0311c9ce5f59ac3dec2cb3db884,0.0050335565399999,1.97,83,0,5,5,0,0
0x784ffce6143a3693a1e4290da0b9c100320fcce1,0.2950859399999999,115.48,6811,0,90,75,0,0
0xf99ef52756b04e02d3c046007cd03bdc55845a15,0.0021478599999998,0.84,6818,0,104,93,0,0
0x4bdaedd9e3ef70154b9232f7c1177768ab5a9b26,0.0083761881998968,3.28,19,0,1,1,0,0
0x512e9cdef7ed1eba0010b828bb51e25dfd94e7c8,0.0006241381299999,0.24,45,0,4,4,0,0
0x51793d6b4fc6a57173c7d8ba2433948439bc9e1a,0.00064166708,0.25,45,0,4,4,0,0
0xbdc69c1097dd504d6eb5b4092b59f259fa3bd9af,4.398479999999999e-05,0.02,58,0,4,1,0,0
0xd68d920e9c81b97e500a3c5d77692dbf534a5806,6.156416758118398e-05,0.02,3,0,1,1,0,0
0xb7014c6eed986839785d21acae5736233e3a654b,2.6447863315536e-05,0.01,34784,0,231,231,0,0
0x949f2aad711fc3158213dcbe1d95f558266bebe6,0.000669204,0.26,2,0,1,1,0,0
0x82001386529f2d28f26eebc9fff7e588591dd77c,0.000669204,0.26,2,0,1,1,0,0
0xf055e755b2103b8735e7eb2a892d8901a16b35ee,0.0,0.0,10,0,2,0,0,0
0x36a699c213f55f0334c772501d46b2d022633061,0.000209385,0.08,7,1,1,1,0,0
0x4fbccc5491a71b903e56e80c126c612106e16cbb,0.0,0.0,3,1,1,1,0,0
0xad91b59822f483ffb39e18398bf686b3f78f8911,0.209678449542371,82.0,145,1,5,0,0,0
0x5f2d8089f39af9ed19708cdea6309e98ac3a1f76,1.23952e-05,0.01,47,1,5,2,0,0
0xadbdf0b89a5cb4c7e5ab74ff755a364547c97d04,0.0,0.0,9,0,1,0,0,0
0x8d886f8275a326db57f078259dfc596c0393de57,2.47399e-05,0.01,55,2,3,1,0,0
0x0d6f84ee678ea96b114a558f5547ce10bfc48929,0.0,0.0,59,10,10,0,0,0
0xf68a5d55c7084315fe522cca6f9e85fe6b8a0925,7.40063e-05,0.03,4,0,1,0,0,0
0x5cd69fc1376809b711293360db70527e737e23ed,2.77795e-05,0.01,49,0,3,2,0,0
0x621c81aa6c8f8bac970adfa31bb3c5f6b3819979,4.46361e-05,0.02,61,0,3,1,0,0
0x81247545853bdbf75c052977d89a8debc567db52,0.000970512,0.38,5,0,1,1,0,0
0x5d24e88c8ccc9aae2c639a2e7d4015734bdc6759,0.000315,0.12,17,0,1,1,0,0
0x4c63600d9d3d18ee5c155f6c9385605ce0255720,0.01134316,4.44,4161,0,50,3,0,0
0x8d6728faa282ba5edacf22d06393a2d0dda0e0f0,0.0,0.0,4,0,1,0,0,0
0x78a087fcf440315b843632cfd6fde6e5adccc2c2,0.1402543029092083,54.85,45613,39,396,51,0,0
0x3bcabaf7d1c0aa65d94053137832998db10e183e,0.0023042564432499,0.9,122,1,6,6,0,0
0xb50f22bbfa23fbb730e601f1a866495bff588ca3,0.000236387,0.09,105004,0,1735,1735,0,0
0x16904ad3b8371476a5704f892ba42ee7bcb8d61f,0.0003646794114513,0.14,4306,0,61,61,0,0
0x51ee52fc8dcb64cb580a50ee32a8ab4afc1dc30a,0.0,0.0,457,0,7,5,0,0
0xfdf1946a9b40245224488f1a36f4a9ed4844a523,5.395328599596821,2110.01,317384,1,8898,8898,0,0
0x61e7e7665296749678a441de39bbd099cce72fea,0.0028428004231639,1.11,1014,0,10,9,0,0
0xb94f0026c34786d4246c9e02fb6ec29cf65e02cc,0.0001497438706517,0.06,45280,1,280,279,0,0
0x03d509fd2dd159cff15dd9ed45878158ac6847dc,0.0707053006500296,27.65,8084,0,136,131,0,0
