,balance_ether,balance_ether,balance_ether,balance_value,balance_value,balance_value,total_transactions,total_transactions,total_transactions,sent,sent,sent,received,received,received,n_contracts_sent,n_contracts_sent,n_contracts_sent,n_contracts_received,n_contracts_received,n_contracts_received
,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean
0,0.0,8250.56949508144,5.316199830766897,0.0,3172013.95,1994.6953967689333,1,412967,3397.5106913756235,0,3189,4.184485626039439,1,7490,64.7407935376574,0,7490,50.07293894036588,0,1940,0.24180327868852458
1,0.0,12158.310847302966,617.2679828889748,0.0,4749157.8,241076.2869047619,69526,2103389,513586.95238095237,0,14929,1029.0,44,49728,9388.404761904761,0,48939,6877.785714285715,0,4,0.11904761904761904
0,0.0,3037.8609853431963,4.13143617853781,0.0,1190264.31,1534.4638304459797,1,262384,2842.926117759124,0,2197,3.4222182532595107,1,5124,58.50639995237245,0,5124,45.09710067273918,0,378,0.12662975531344883
1,0.0,12158.310847302966,582.5825851148848,0.0,4749157.8,226961.62696202527,11884,1097888,353045.96202531643,0,14929,660.0253164556962,6,24383,5431.46835443038,0,18457,3831.8607594936707,0,1940,24.670886075949365
2,0.0099559505470731,9.027961202468934,4.518958576508004,3.9,3534.36,1769.13,1024492,2103389,1563940.5,0,4043,2021.5,22743,49728,36235.5,22743,48939,35841.0,0,0,0.0
0,0.0,3661.356623861466,4.348496068097353,0.0,1433164.82,1619.427758394937,1,262384,2837.759168849726,0,2197,3.4629078351988567,1,4866,58.05072636341986,0,4866,44.64717789949988,0,378,0.12663729459395093
1,4650.8962755528,12158.310847302966,7879.3103946715355,1813058.9,4749157.8,3064661.8575,11884,758416,430496.25,3,2291,862.0,89,2310,1046.5,0,30,7.5,0,0,0.0
2,0.0,3140.564781745989,142.96284442797673,0.0,1225259.94,55865.80828947368,45022,1097888,345503.59210526315,0,14929,631.7631578947369,6,24383,5692.263157894737,0,18457,4082.75,0,1940,25.644736842105264
3,0.0099559505470731,9.027961202468934,4.518958576508004,3.9,3534.36,1769.13,1024492,2103389,1563940.5,0,4043,2021.5,22743,49728,36235.5,22743,48939,35841.0,0,0,0.0
0,0.0,3037.8609853431963,3.063349792505342,0.0,1190264.31,1116.6697596153736,1,110751,1752.4105168269232,0,1395,2.078485576923077,1,2441,41.43954326923077,0,2121,33.329266826923075,0,266,0.07710336538461539
1,0.0,357.34434375687005,36.508378920793454,0.0,139367.87,14230.286969696972,69526,1097888,461221.9696969697,0,14929,1062.2727272727273,44,24383,9128.757575757576,0,18457,6276.212121212121,0,4,0.15151515151515152
2,4650.8962755528,12158.310847302966,7879.3103946715355,1813058.9,4749157.8,3064661.8575,11884,758416,430496.25,3,2291,862.0,89,2310,1046.5,0,30,7.5,0,0,0.0
3,0.0,3661.356623861466,159.41507077695775,0.0,1433164.82,62285.05422110549,15972,541018,148446.43216080402,0,3189,183.59798994974875,6,7490,2094.618090452261,0,7490,1499.8442211055276,0,1940,14.010050251256281
4,0.0099559505470731,9.027961202468934,4.518958576508004,3.9,3534.36,1769.13,1024492,2103389,1563940.5,0,4043,2021.5,22743,49728,36235.5,22743,48939,35841.0,0,0,0.0
0,0.0,3037.8609853431963,3.063349792505342,0.0,1190264.31,1116.6697596153736,1,110751,1752.4105168269232,0,1395,2.078485576923077,1,2441,41.43954326923077,0,2121,33.329266826923075,0,266,0.07710336538461539
1,0.0,357.34434375687005,31.436747057664967,0.0,139367.87,12242.98642857143,69526,1097888,476950.21428571426,0,3122,218.53571428571428,2169,24383,10168.0,0,18457,7110.214285714285,0,4,0.17857142857142858
2,0.0197900007555555,321.5454444166476,133.88306296873648,7.75,125618.16,52365.44,221247,635045,388537.0,2983,14929,6942.75,44,3239,1071.75,0,0,0.0,0,1940,485.0
3,0.0099559505470731,9.027961202468934,4.518958576508004,3.9,3534.36,1769.13,1024492,2103389,1563940.5,0,4043,2021.5,22743,49728,36235.5,22743,48939,35841.0,0,0,0.0
4,0.0,3661.356623861466,157.56307209755605,0.0,1433164.82,61560.29939999997,15972,541018,149262.055,0,3189,188.505,6,8736,2145.435,0,7490,1532.49,0,378,4.24
5,4650.8962755528,12158.310847302966,7879.3103946715355,1813058.9,4749157.8,3064661.8575,11884,758416,430496.25,3,2291,862.0,89,2310,1046.5,0,30,7.5,0,0,0.0
0,0.0,3037.8609853431963,3.063349792505342,0.0,1190264.31,1116.6697596153736,1,110751,1752.4105168269232,0,1395,2.078485576923077,1,2441,41.43954326923077,0,2121,33.329266826923075,0,266,0.07710336538461539
1,0.0,357.34434375687005,38.767048676304135,0.0,139367.87,15110.432258064518,69526,1097888,468466.7419354839,0,4735,483.93548387096774,727,24383,9611.806451612903,0,18457,6681.129032258064,0,4,0.16129032258064516
2,0.0099559505470731,9.027961202468934,4.518958576508004,3.9,3534.36,1769.13,1024492,2103389,1563940.5,0,4043,2021.5,22743,49728,36235.5,22743,48939,35841.0,0,0,0.0
3,4650.8962755528,12158.310847302966,7879.3103946715355,1813058.9,4749157.8,3064661.8575,11884,758416,430496.25,3,2291,862.0,89,2310,1046.5,0,30,7.5,0,0,0.0
4,2.97820542,2.97820542,2.97820542,1168.32,1168.32,1168.32,377805,377805,377805.0,14929,14929,14929.0,44,44,44.0,0,0,0.0,0,0,0.0
5,0.0,3661.356623861466,158.35492493757693,0.0,1433164.82,61869.678442211014,15972,541018,148942.93467336684,0,5124,194.356783919598,6,7490,2109.502512562814,0,7490,1499.8442211055276,0,378,4.261306532663316
6,210.98881203754271,210.98881203754271,210.98881203754271,82667.53,82667.53,82667.53,221247,221247,221247.0,2983,2983,2983.0,277,277,277.0,0,0,0.0,1940,1940,1940.0
0,0.0,1263.964030211438,2.035333839855617,0.0,495044.15,716.6722640941971,1,118859,1775.3187883159032,0,1395,2.038225748287054,1,3374,41.84938093520856,0,2121,33.50330568577954,0,266,0.07699242697439596
1,0.0099559505470731,9.027961202468934,4.518958576508004,3.9,3534.36,1769.13,1024492,2103389,1563940.5,0,4043,2021.5,22743,49728,36235.5,22743,48939,35841.0,0,0,0.0
2,0.0,357.34434375687005,31.436747057664967,0.0,139367.87,12242.98642857143,69526,1097888,476950.21428571426,0,3122,218.53571428571428,2169,24383,10168.0,0,18457,7110.214285714285,0,4,0.17857142857142858
3,0.0,1306.4277558286285,63.207529756421536,0.0,511348.89,24696.210797872325,15972,635045,155545.03723404257,0,5124,238.6755319148936,6,8736,2231.994680851064,0,7490,1598.0744680851064,0,378,4.51063829787234
4,6457.464960748936,12158.310847302966,8955.44843437778,2524416.78,4749157.8,3481862.8433333337,11884,758416,352225.3333333333,3,1130,385.6666666666667,89,2310,1034.0,0,30,10.0,0,0,0.0
5,2.97820542,2.97820542,2.97820542,1168.32,1168.32,1168.32,377805,377805,377805.0,14929,14929,14929.0,44,44,44.0,0,0,0.0,0,0,0.0
6,1435.426837012493,4650.8962755528,2453.6656738262377,561625.1,1813058.9,956779.3370588236,60,665309,108982.70588235294,0,2291,332.5882352941176,2,2294,458.0,0,1965,190.05882352941177,0,1,0.11764705882352941
7,210.98881203754271,210.98881203754271,210.98881203754271,82667.53,82667.53,82667.53,221247,221247,221247.0,2983,2983,2983.0,277,277,277.0,0,0,0.0,1940,1940,1940.0
0,0.0,1263.964030211438,1.9525153314735924,0.0,495044.15,684.0551426158889,1,97831,1614.7154917686787,0,1395,1.8825303021166255,1,1754,37.40089248025086,0,1429,30.064162093710426,0,266,0.07724778387505277
1,0.0099559505470731,9.027961202468934,4.518958576508004,3.9,3534.36,1769.13,1024492,2103389,1563940.5,0,4043,2021.5,22743,49728,36235.5,22743,48939,35841.0,0,0,0.0
2,210.98881203754271,210.98881203754271,210.98881203754271,82667.53,82667.53,82667.53,221247,221247,221247.0,2983,2983,2983.0,277,277,277.0,0,0,0.0,1940,1940,1940.0
3,1435.426837012493,4650.8962755528,2453.6656738262377,561625.1,1813058.9,956779.3370588236,60,665309,108982.70588235294,0,2291,332.5882352941176,2,2294,458.0,0,1965,190.05882352941177,0,1,0.11764705882352941
4,0.0,185.0091868120608,12.813882987927139,0.0,71230.39,4966.907999999999,69526,1097888,462922.64,0,1139,99.0,4112,24383,10989.24,0,18457,7700.76,0,4,0.2
5,2.97820542,2.97820542,2.97820542,1168.32,1168.32,1168.32,377805,377805,377805.0,14929,14929,14929.0,44,44,44.0,0,0,0.0,0,0,0.0
6,0.0,1306.4277558286285,142.55734863228986,0.0,511348.89,55684.4484,129090,707914,309321.9,0,5124,775.62,6,5263,1737.86,0,4356,829.04,0,0,0.0
7,0.0,769.0698367296693,34.69567699592028,0.0,299944.93,13559.198112244907,7221,217571,93463.46428571429,0,1376,63.40816326530612,91,8736,2136.561224489796,0,7490,1655.2397959183672,0,378,4.326530612244898
8,6457.464960748936,12158.310847302966,8955.44843437778,2524416.78,4749157.8,3481862.8433333337,11884,758416,352225.3333333333,3,1130,385.6666666666667,89,2310,1034.0,0,30,10.0,0,0,0.0
0,0.0,1263.964030211438,1.927866440888498,0.0,495044.15,674.4415313630453,1,86525,1584.406634499397,0,1395,1.863449939686369,1,1754,37.44185765983112,0,1429,30.382870928829917,0,266,0.07726176115802172
1,0.0,1306.4277558286285,133.36820774034769,0.0,511348.89,52115.54594594593,153511,707914,362095.24324324325,0,5124,891.5675675675676,6,9113,2233.2702702702704,0,4356,1042.6756756756756,0,0,0.0
2,9.027961202468934,9.027961202468934,9.027961202468934,3534.36,3534.36,3534.36,2103389,2103389,2103389.0,0,0,0.0,22743,22743,22743.0,22743,22743,22743.0,0,0,0.0
3,0.0,769.0698367296693,39.84418184846987,0.0,299944.93,15557.396320754726,7221,259625,102668.22169811321,0,1376,78.19339622641509,91,7490,2009.6556603773586,0,7490,1507.5141509433963,0,378,4.0
4,6457.464960748936,12158.310847302966,8955.44843437778,2524416.78,4749157.8,3481862.8433333337,11884,758416,352225.3333333333,3,1130,385.6666666666667,89,2310,1034.0,0,30,10.0,0,0,0.0
5,0.0,43.18668375410877,4.880427070812134,0.0,16900.68,1908.6825,69526,1097888,438805.75,0,1139,139.25,5544,24383,11260.083333333334,0,18457,8109.791666666667,0,4,0.20833333333333334
6,210.98881203754271,210.98881203754271,210.98881203754271,82667.53,82667.53,82667.53,221247,221247,221247.0,2983,2983,2983.0,277,277,277.0,0,0,0.0,1940,1940,1940.0
7,0.0099559505470731,0.0099559505470731,0.0099559505470731,3.9,3.9,3.9,1024492,1024492,1024492.0,4043,4043,4043.0,49728,49728,49728.0,48939,48939,48939.0,0,0,0.0
