                                  Acuracy  Precision    Recall  F1-score    F-beta       MCC     TP       TN  ROC Curve
KNN No Balance                   0.995813   0.973684  0.521127  0.678899  0.574534  0.710751   74.0  16574.0   0.760503
KNN UnderSample                  0.915421   0.083770  0.901408  0.153293  0.305344  0.260159  128.0  15176.0   0.908474
KNN OverSample                   0.993600   0.579909  0.894366  0.703601  0.806861  0.717373  127.0  16484.0   0.944408
KNN Smote                        0.974937   0.243993  0.929577  0.386530  0.595131  0.469287  132.0  16167.0   0.952452
Decision Tree No Balance         0.997129   0.960784  0.690141  0.803279  0.731343  0.813030   98.0  16572.0   0.844950
Decision Tree UnderSample        0.928759   0.102952  0.957746  0.185919  0.359979  0.301491  136.0  15391.0   0.943129
Decision Tree OverSample         0.972066   0.225042  0.936620  0.362892  0.573770  0.451723  133.0  16118.0   0.954495
Decision Tree Smote              0.955258   0.152523  0.936620  0.262327  0.461806  0.368170  133.0  15837.0   0.946019
Random Forest No Balance         0.997248   1.000000  0.676056  0.806723  0.722892  0.821088   96.0  16576.0   0.838028
Random Forest UnderSample        0.936476   0.117940  1.000000  0.210996  0.400677  0.332241  142.0  15514.0   0.967966
Random Forest OverSample         0.999462   0.978417  0.957746  0.967972  0.961810  0.967756  136.0  16573.0   0.978783
Random Forest Smote              0.997368   0.781609  0.957746  0.860759  0.916442  0.863971  136.0  16538.0   0.977727
Logistic Regression No Balance   0.991686   1.000000  0.021127  0.041379  0.026270  0.144745    3.0  16576.0   0.510563
Logistic Regression UnderSample  0.995454   1.000000  0.464789  0.634615  0.520505  0.680197   66.0  16576.0   0.732394
Logistic Regression OverSample   0.969972   0.176259  0.690141  0.280802  0.435943  0.339072   98.0  16118.0   0.831255
Logistic Regression Smote        0.965127   0.153846  0.690141  0.251605  0.406639  0.315236   98.0  16037.0   0.828812
Linear SVM No Balance            0.992523   1.000000  0.119718  0.213836  0.145299  0.344706   17.0  16576.0   0.559859
Linear SVM UnderSample           0.397595   0.010453  0.746479  0.020617  0.049491  0.026504  106.0   6541.0   0.570543
Linear SVM OverSample            0.976193   0.215556  0.683099  0.327703  0.476424  0.375266   97.0  16223.0   0.830901
Linear SVM Smote                 0.975476   0.209957  0.683099  0.321192  0.470874  0.370092   97.0  16211.0   0.830539
Gaussian SVM No Balance          0.995992   0.941176  0.563380  0.704846  0.612557  0.726538   80.0  16571.0   0.781539
Gaussian SVM UnderSample         0.986601   0.345865  0.647887  0.450980  0.551559  0.467454   92.0  16402.0   0.818695
Gaussian SVM OverSample          0.950114   0.124729  0.809859  0.216165  0.385906  0.306005  115.0  15769.0   0.880587
Gaussian SVM Smote               0.961778   0.158184  0.809859  0.264672  0.444015  0.347795  115.0  15964.0   0.886469
Sigmoid SVM No Balance           0.988276   0.245283  0.183099  0.209677  0.192878  0.206112   26.0  16496.0   0.589136
Sigmoid SVM UnderSample          0.990429   0.452632  0.605634  0.518072  0.567282  0.518901   86.0  16472.0   0.799680
Sigmoid SVM OverSample           0.991087   0.482587  0.683099  0.565598  0.630689  0.569897   97.0  16472.0   0.838412
Sigmoid SVM Smote                0.992583   0.548913  0.711268  0.619632  0.671543  0.621228  101.0  16493.0   0.853130                       
Voting Soft No Balance           0.996172   1.000000  0.549296  0.709091  0.603715  0.739718   78.0  16576.0   0.774648
Voting Soft UnderSample          0.948080   0.128834  0.887324  0.225000  0.407503  0.326873  126.0  15724.0   0.917962
Voting Soft OverSample           0.981876   0.306024  0.894366  0.456014  0.645982  0.517275  127.0  16288.0   0.938496
Voting Soft Smote                0.977988   0.267490  0.915493  0.414013  0.616698  0.488343  130.0  16220.0   0.947008
-----------------------------------------------------------------------------------------------------------------------
